Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,2,166,1000
2,0,2,333,1000
3,125,2,375,1000
4,293,2,375,1000
5,465,2,375,1000
6,626,0,374,0
7,626,0,374,0
8,626,0,374,0
9,626,0,374,0
10,626,0,374,0
11,626,0,374,0
12,626,0,374,0
13,626,0,374,0
14,626,0,374,0
15,626,0,374,0
16,626,0,374,0
17,626,0,374,0
18,626,0,374,0
19,626,0,374,0
20,626,0,374,0
21,626,0,374,0
22,626,0,374,0
23,626,0,374,0
24,626,0,374,0
25,626,0,374,0
26,626,0,374,0
27,626,0,374,0
28,626,0,374,0
29,626,0,374,0
30,626,0,374,0
31,626,0,374,0
32,626,0,374,0
33,626,0,374,0
34,626,0,374,0
35,626,0,374,0
36,626,0,374,0
37,626,0,374,0
38,626,0,374,0
39,626,0,374,0
40,626,0,374,0
41,626,0,374,0
42,626,0,374,0
43,626,0,374,0
44,626,0,374,0
45,626,0,374,0
46,626,0,374,0
47,626,0,374,0
48,626,0,374,0
49,626,0,374,0
50,626,0,374,0
51,626,0,374,0
52,626,0,374,0
53,626,0,374,0
54,626,0,374,0
55,626,0,374,0
56,626,0,374,0
57,626,0,374,0
58,626,0,374,0
59,626,0,374,0
60,626,0,374,0
61,626,0,374,0
62,626,0,374,0
63,626,0,374,0
64,626,0,374,0
65,626,0,374,0
66,626,0,374,0
67,626,0,374,0
68,626,0,374,0
69,626,0,374,0
70,626,0,374,0
71,626,0,374,0
72,626,0,374,0
73,626,0,374,0
74,626,0,374,0
75,626,0,374,0
76,626,0,374,0
77,626,0,374,0
78,626,0,374,0
79,626,0,374,0
80,626,0,374,0
81,626,0,374,0
82,626,0,374,0
83,626,0,374,0
84,626,0,374,0
85,626,0,374,0
86,626,0,374,0
87,626,0,374,0
88,626,0,374,0
89,626,0,374,0
90,626,0,374,0
91,626,0,374,0
92,626,0,374,0
93,626,0,374,0
94,626,0,374,0
95,626,0,374,0
96,626,0,374,0
97,626,0,374,0
98,626,0,374,0
99,626,0,374,0
100,626,0,374,0
101,626,0,374,0
102,626,0,374,0
103,626,0,374,0
104,626,0,374,0
105,626,0,374,0
106,626,0,374,0
107,626,0,374,0
108,626,0,374,0
109,626,0,374,0
110,626,0,374,0
111,626,0,374,0
112,626,0,374,0
113,626,0,374,0
114,626,0,374,0
115,626,0,374,0
116,626,0,374,0
117,626,0,374,0
118,626,0,374,0
119,626,0,374,0
120,626,0,374,0
121,626,0,374,0
122,626,0,374,0
123,626,0,374,0
124,626,0,374,0
125,626,0,374,0
126,626,0,374,0
127,626,0,374,0
128,626,0,374,0
129,626,0,374,0
130,626,0,374,0
131,626,0,374,0
132,626,0,374,0
133,626,0,374,0
134,626,0,374,0
135,626,0,374,0
136,626,0,374,0
137,626,0,374,0
138,626,0,374,0
139,626,0,374,0
140,626,0,374,0
141,626,0,374,0
142,626,0,374,0
143,626,0,374,0
144,626,0,374,0
145,626,0,374,0
146,626,0,374,0
147,626,0,374,0
148,626,0,374,0
149,626,0,374,0
150,626,0,374,0
151,626,0,374,0
152,626,0,374,0
153,626,0,374,0
154,626,0,374,0
155,626,0,374,0
156,626,0,374,0
157,626,0,374,0
158,626,0,374,0
159,626,0,374,0
160,626,0,374,0
161,626,0,374,0
162,626,0,374,0
163,626,0,374,0
164,626,0,374,0
165,626,0,374,0
166,626,0,374,0
167,626,0,374,0
168,626,0,374,0
169,626,0,374,0
170,626,0,374,0
171,626,0,374,0
172,626,0,374,0
173,626,0,374,0
174,626,0,374,0
175,626,0,374,0
176,626,0,374,0
177,626,0,374,0
178,626,0,374,0
179,626,0,374,0
180,626,0,374,0
181,626,0,374,0
182,626,0,374,0
183,626,0,374,0
184,626,0,374,0
185,626,0,374,0
186,626,0,374,0
187,626,0,374,0
188,626,0,374,0
189,626,0,374,0
190,626,0,374,0
191,626,0,374,0
192,626,0,374,0
193,626,0,374,0
194,626,0,374,0
195,626,0,374,0
196,626,0,374,0
197,626,0,374,0
198,626,0,374,0
199,626,0,374,0
200,626,0,374,0
201,626,0,374,0
202,626,0,374,0
203,626,0,374,0
204,626,0,374,0
205,626,0,374,0
206,626,0,374,0
207,626,0,374,0
208,626,0,374,0
209,626,0,374,0
210,626,0,374,0
211,626,0,374,0
212,626,0,374,0
213,626,0,374,0
214,626,0,374,0
215,626,0,374,0
216,626,0,374,0
217,626,0,374,0
218,626,0,374,0
219,626,0,374,0
220,626,0,374,0
221,626,0,374,0
222,626,0,374,0
223,626,0,374,0
224,626,0,374,0
225,626,0,374,0
226,626,0,374,0
227,626,0,374,0
228,626,0,374,0
229,626,0,374,0
230,626,0,374,0
231,626,0,374,0
232,626,0,374,0
233,626,0,374,0
234,626,0,374,0
235,626,0,374,0
236,626,0,374,0
237,626,0,374,0
238,626,0,374,0
239,626,0,374,0
240,626,0,374,0
241,626,0,374,0
